deal_id,snapshot_dt,prin_rem,accrued_int,ead,maturity_date_final,remaining_life_of_the_quarter,term,mapped_mpd_benign,mapped_mpd_base,mapped_mpd_mild,mapped_mpd_medium,mapped_mpd_severe,applied_mpd_benign,applied_mpd_base,applied_mpd_mild,applied_mpd_medium,applied_mpd_severe,applied_lgd_benign,applied_lgd_base,applied_lgd_mild,applied_lgd_medium,applied_lgd_severe,eir,EIR_quarter,cum_life_in_quarter,discount_factor
ALS:18100694000000000015138948,2024-12-31,27549.29,89.67,27638.96,2025-06-01,1.0,1,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0375,0.009245992,0.0,1.0
ALS:18100694000000000015138948,2025-03-31,-18601.5803094314,,-18657.9503244852,2025-06-01,0.6888888888888889,2,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0375,0.009245992,0.989010989010989,0.9909389294544279
ALS:18100694000000000015138948,2025-06-01,0.0,,0.0,2025-06-01,0.0,3,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0375,0.009245992,1.6703296703296704,0.9847446652941122
ALS:18100694000000000015269106,2024-12-31,385659.07,474.17,386133.24,2031-06-16,1.0,1,,,,,,,,,,,0.013472752594484995,0.013472752594484995,0.013472752594484995,0.013472752594484995,0.013472752594484995,0.0275,0.0068051815,0.0,1.0
ALS:18100694000000000015269106,2025-03-31,352411.9571805533,,352805.0721697698,2031-06-16,1.0,2,,,,,,,,,,,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.0275,0.0068051815,0.989010989010989,0.9933148438843884
ALS:18100694000000000015269106,2025-06-30,338513.2099330275,,338865.6337278888,2031-06-16,1.0,3,,,,,,,,,,,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.0275,0.0068051815,1.989010989010989,0.9866008460556742
ALS:18100694000000000015269106,2025-09-30,324518.6934445092,,324856.5476436696,2031-06-16,1.0,4,,,,,,,,,,,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.0275,0.0068051815,3.0,0.9798591988148048
ALS:18100694000000000015299978,2024-12-31,586876.83,952.07,587828.8999999999,2031-12-11,1.0,1,,,,,,,,,,,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.0275,0.0068051815,0.0,1.0
ALS:18100694000000000015299978,2025-03-31,768060.566779435,,769203.139597956,2031-12-11,1.0,2,,,,,,,,,,,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.0275,0.0068051815,0.989010989010989,0.9933148438843884
ALS:18100694000000000015299978,2025-06-30,750113.3049775811,,751173.3461903591,2031-12-11,1.0,3,,,,,,,,,,,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.013472752594484994,0.0275,0.0068051815,1.989010989010989,0.9866008460556742
