region_brch,product_type_brch,collateral_agreement_id,collateral_agreement_type,collateral_amount,collateral_currency,facility_nr,as_of_dt,multiply_divide_ind,rate,customer_nr,entity,maturity_date,rec_ref_dt,source_system,start_date,from_currency,to_currency,lcy_to_hkd,deal_dt,collateral_amount_hke,Parameter name,description,recovery_time,haircut,forward_adjustment_factor,collateral_allocation_priority,collateral_secured_rank_for_ead_allocation,remark,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount,remaining_base_amt
hk,PLEDGE_COLLATERAL,CLS:180000000000000003308598:5:0,O010,4168621.0,HKD,CLS:1000645687,2024-12-31,M,1.0,018:RM:1800000000000000000001392665,18,2025-01-31,2024-12-31,NX,2024-01-23,HKD,HKD,1.0,,4168621.0,27,LIFE INSURANCE POLICY,0.5,0.4,,1,3,,2501172.6,3620000.0,2501172.6,1118827.4
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:2:1,P002,52555221.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,52555221.0,31,COMMERCIAL PROPERTIES,0.5,0.4,HK RETAIL PPI,8,3,,31533132.599999998,46000000.0,31533132.599999998,14466867.400000002
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:9:0,G007,470000000.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,470000000.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,46999999.99999999,46000000.0,46999999.99999999,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:10:1,P001,19426540.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,19426540.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,11655924.0,46000000.0,11655924.0,34344076.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:4:1,P002,76443959.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,76443959.0,31,COMMERCIAL PROPERTIES,0.5,0.4,HK RETAIL PPI,8,3,,45866375.4,46000000.0,45866375.4,133624.6000000015
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:6:0,G007,470000000.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,470000000.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,46999999.99999999,46000000.0,46999999.99999999,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:11:1,P001,28890753.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,28890753.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,17334451.8,46000000.0,17334451.8,28665548.2
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:12:1,P001,171451676.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,171451676.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,102871005.6,46000000.0,102871005.6,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:8:0,G007,470000000.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,470000000.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,46999999.99999999,46000000.0,46999999.99999999,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:7:0,G007,470000000.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,470000000.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,46999999.99999999,46000000.0,46999999.99999999,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:3:1,P002,64021815.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,64021815.0,31,COMMERCIAL PROPERTIES,0.5,0.4,HK RETAIL PPI,8,3,,38413089.0,46000000.0,38413089.0,7586911.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:14:1,P002,13377692.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,13377692.0,31,COMMERCIAL PROPERTIES,0.5,0.4,HK RETAIL PPI,8,3,,8026615.199999999,46000000.0,8026615.199999999,37973384.8
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:13:1,P004,1394726.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,1394726.0,33,OTHER TYPES OF PROPERTIES,0.5,0.4,HK OFFICE PPI,3,3,,836835.6,46000000.0,836835.6,45163164.4
hk,PLEDGE_COLLATERAL,CLS:180000000000000003287074:1:1,P001,3322363.0,HKD,CLS:1000669776,2024-12-31,M,1.0,018:RM:1800000000000000000001335285,18,2037-08-25,2024-12-31,NX,2022-08-25,HKD,HKD,1.0,,3322363.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,1993417.7999999998,1430950.47,1993417.7999999998,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003303937:2:0,O010,184300.0,USD,CLS:1000678198,2024-12-31,M,7.7629504,018:RM:1800000000000000000001382061,18,2025-09-30,2024-12-31,NX,2024-09-19,USD,HKD,1.0,,1430711.7624759674,27,LIFE INSURANCE POLICY,0.5,0.4,,1,3,,858427.0574855804,1284000.0,858427.0574855804,425572.94251441956
hk,PLEDGE_COLLATERAL,CLS:180000000000000003287156:1:1,P003,2047520.0,HKD,CLS:1000596687,2024-12-31,M,1.0,018:RM:1800000000000000000001330475,18,2041-01-11,2024-12-31,NX,2021-01-11,HKD,HKD,1.0,,2047520.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1228512.0,1065435.98,1228512.0,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293896:1:0,G007,99999999999.0,HKD,CLS:1000297514,2024-12-31,M,1.0,018:RM:1800000000000000000001363613,18,2025-02-28,2024-12-31,NX,2024-06-12,HKD,HKD,1.0,,99999999999.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,9999999999.899998,11700000.0,6882352941.107645,11700000.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293896:1:0,G007,99999999999.0,HKD,CLS:1000614248,2024-12-31,M,1.0,018:RM:1800000000000000000001363613,18,2025-02-28,2024-12-31,NX,2024-06-12,HKD,HKD,1.0,,99999999999.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,9999999999.899998,5300000.0,3117647058.792352,5300000.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300586:1:1,P001,6734554.0,HKD,CLS:1000624523,2024-12-31,M,1.0,018:RM:1800000000000000000001356864,18,2051-08-02,2024-12-31,NX,2021-08-02,HKD,HKD,1.0,,6734554.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,4040732.4,5629431.16,4040732.4,1588698.7600000002
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:7:0,O009,1.0,GBP,CLS:1000624531,2024-12-31,M,9.741366,018:RM:1800000000000000000001378044,18,2025-07-30,2024-12-31,NX,2021-07-16,GBP,HKD,1.0,,9.741366386413574,26,ALL OTHER INTANGIBLE SECURITIES,0.5,0.9,,1,3,,0.9741366386413572,3335003.73577467,0.9741366386413572,3335002.7616380313
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:3:0,G007,40000000.0,GBP,CLS:1000624531,2024-12-31,M,9.741366,018:RM:1800000000000000000001378044,18,2025-07-30,2024-12-31,NX,2021-07-16,GBP,HKD,1.0,,389654655.45654297,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,38965465.54565429,3335003.73577467,38965465.54565429,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:1:0,G007,40000000.0,GBP,CLS:1000624531,2024-12-31,M,9.741366,018:RM:1800000000000000000001378044,18,2025-07-30,2024-12-31,NX,2021-07-16,GBP,HKD,1.0,,389654655.45654297,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,38965465.54565429,3335003.73577467,38965465.54565429,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:2:0,G007,40000000.0,GBP,CLS:1000624531,2024-12-31,M,9.741366,018:RM:1800000000000000000001378044,18,2025-07-30,2024-12-31,NX,2021-07-16,GBP,HKD,1.0,,389654655.45654297,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,38965465.54565429,3335003.73577467,38965465.54565429,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:4:0,O009,1.0,GBP,CLS:1000624531,2024-12-31,M,9.741366,018:RM:1800000000000000000001378044,18,2025-07-30,2024-12-31,NX,2021-07-16,GBP,HKD,1.0,,9.741366386413574,26,ALL OTHER INTANGIBLE SECURITIES,0.5,0.9,,1,3,,0.9741366386413572,3335003.73577467,0.9741366386413572,3335002.7616380313
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:6:0,O009,1.0,GBP,CLS:1000624531,2024-12-31,M,9.741366,018:RM:1800000000000000000001378044,18,2025-07-30,2024-12-31,NX,2021-07-16,GBP,HKD,1.0,,9.741366386413574,26,ALL OTHER INTANGIBLE SECURITIES,0.5,0.9,,1,3,,0.9741366386413572,3335003.73577467,0.9741366386413572,3335002.7616380313
