timestamp,facility_nr,collateral_agreement_type,collateral_agreement_id,collateral_amount_hke,haircut,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount
20251124_180702,CLS:1000624531,O009,CLS:180000000000000003300589:6:0,9.741366386413574,0.9,0.9741366386413572,3335003.73577467,0.9741366386413572
20251124_180702,CLS:1000624531,O009,CLS:180000000000000003300589:5:0,9.741366386413574,0.9,0.9741366386413572,3335003.73577467,0.9741366386413572
20251124_180702,CLS:1000624531,P001,CLS:180000000000000003300589:8:1,398517379.8190012,0.4,239110427.89140072,3335003.73577467,239110427.89140072
20251124_180702,CLS:1000608377,P001,CLS:180000000000000003292461:1:1,2871966.0,0.4,1723179.5999999999,2825553.07,1723179.5999999999
20251124_180702,CLS:1000616288,P001,CLS:180000000000000003295791:1:1,6646610.0,0.4,3987966.0,6759416.89,3987966.0
20251124_180702,CLS:1000597315,P001,CLS:180000000000000003287489:1:1,3439437.0,0.4,2063662.2,2452817.37,2063662.2
20251124_180702,CLS:1000612555,O010,CLS:180000000000000003294241:1:0,1895309.0,0.4,1137185.4,1.0,1137185.4
20251124_180702,CLS:1000291423,P003,CLS:180000000000000003291057:3:1,4511726.0,0.4,2707035.6,1950000.0,2707035.6
20251124_180702,CLS:1000617042,P001,CLS:180000000000000003296046:2:1,3840264.0,0.4,2304158.4,2876575.49,2304158.4
20251124_180702,CLS:1000632489,G007,CLS:180000000000000003300883:1:0,99999999999.0,0.9,9999999999.899998,595000.0,9999999999.899998
20251124_180702,CLS:1000632489,G007,CLS:180000000000000003300884:2:0,99999999999.0,0.9,9999999999.899998,595000.0,9999999999.899998
20251124_180702,CLS:1000632489,G007,CLS:180000000000000003300885:2:0,99999999999.0,0.9,9999999999.899998,595000.0,9999999999.899998
20251124_180702,CLS:1000632489,G007,CLS:180000000000000003300886:2:0,99999999999.0,0.9,9999999999.899998,595000.0,9999999999.899998
20251124_180702,CLS:1000588392,P001,CLS:180000000000000003282693:2:1,4887432.0,0.4,2932459.1999999997,1800000.0,2932459.1999999997
20251124_180702,CLS:1000588392,P001,CLS:180000000000000003282693:3:1,14466800.0,0.4,8680080.0,1800000.0,8680080.0
20251124_180702,CLS:1000588392,G007,CLS:180000000000000003282693:1:0,99999999999.0,0.9,9999999999.899998,1800000.0,9999999999.899998
