COLLATERAL_AGREEMENT_ID,FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,AS_OF_DT,COMMIT_INDICATOR,CCF,DRAWN_AMOUNT,UNDRAWN_AMOUNT
CLS:180000000000000001017519:1:1,CLS:0001371763,P002,2500341,HKD,31DEC2024:00:00:00,Y,20.0,157331.48,0.0
CLS:180000000000000001017519:2:1,CLS:0001375568,P002,2553165,HKD,31DEC2024:00:00:00,Y,20.0,169130.54,0.0
CLS:180000000000000001017523:1:1,CLS:0001372622,P001,10856318,HKD,31DEC2024:00:00:00,N,0.0,1467479.1,1569120.9
CLS:180000000000000001017556:1:1,CLS:0001371864,P001,6489117,HKD,31DEC2024:00:00:00,Y,20.0,67279.12,0.0
CLS:180000000000000001017589:1:1,CLS:0001423877,P001,4566155,HKD,31DEC2024:00:00:00,Y,20.0,724846.59,0.0
CLS:180000000000000001017589:2:1,CLS:0001431989,P001,4086294,HKD,31DEC2024:00:00:00,Y,20.0,614519.17,0.0
CLS:180000000000000001017604:1:1,CLS:0001372486,P001,9913605,HKD,31DEC2024:00:00:00,Y,20.0,342871.58,0.0
CLS:180000000000000001017604:2:0,CLS:0001372486,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,342871.58,0.0
CLS:180000000000000001017604:3:1,CLS:0001374753,P001,10443340,HKD,31DEC2024:00:00:00,Y,20.0,429004.83,0.0
CLS:180000000000000001017604:4:0,CLS:0001374753,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,429004.83,0.0
CLS:180000000000000001017626:1:1,CLS:0001373212,P001,17709009,HKD,31DEC2024:00:00:00,Y,20.0,2384321.72,0.0
CLS:180000000000000001017626:2:0,CLS:0001373212,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,2384321.72,0.0
CLS:180000000000000001017660:1:1,CLS:0001374896,P002,4893854,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
