FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,DRAWN_AMOUNT,AS_OF_DT,UNDRAWN_AMOUNT,COLLATERAL_AGREEMENT_ID,COLLATERAL_CURRENCY,COLLATERAL_VALUE_POST_HAIRCUT,EAD_POST_CCF,ALLOCATED_COLLATERAL_ON,ALLOCATED_COLLATERAL_OFF,ON_OFF_IND,CUR_BAL,DEAL_ID,CUR_RT,FAC_CUR_BAL,PORTION,DEAL_ALLOCATED_COLLATERAL_ON,DEAL_ALLOCATED_COLLATERAL_OFF
CLS:0001397321,G007,215905320.0,31DEC2024:00:00:00,94680.0,CLS:180000000000000001499921:10:0,HKD,1279999999984,215971596.0,174836215379.55057,53669103.709418066,N,1600015.0,IMEX:894333138811:001:Finance:INFI::HKD,6.57941,1600015.0,1.0,174836215379.55057,0.0
CLS:0001397321,P001,53976330.0,31DEC2024:00:00:00,23670.0,CLS:180000000000000000103971:1:2,HKD,74400000,53992899.0,10162355.019063408,3119.516653148919,N,1600015.0,IMEX:894333138811:001:Finance:INFI::HKD,6.57941,1600015.0,1.0,10162355.019063408,0.0
CLS:0001397321,P002,134940825.0,31DEC2024:00:00:00,59175.0,CLS:180000000000000001499921:17:1,HKD,38880000,134982247.5,5310650.042220232,1630.1990251939512,N,1600015.0,IMEX:894333138811:001:Finance:INFI::HKD,6.57941,1600015.0,1.0,5310650.042220232,0.0
CLS:0001397321,T001,26988165.0,31DEC2024:00:00:00,11835.0,CLS:180000000000000001499921:27:0,HKD,11699064,26996449.5,1597984.432241183,490.5299055679436,N,1600015.0,IMEX:894333138811:001:Finance:INFI::HKD,6.57941,1600015.0,1.0,1597984.432241183,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,47026.8,IMEX:894333135280:001:Finance:INDI::USD,6.69167,1448038.6,0.03247620609008627,215426848.53728312,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,125179.02,IMEX:894333135814:001:Finance:INDI::AUD,6.13,1448038.6,0.08644729498232989,573437311.9494742,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,29129.02,IMEX:894333142520:001:Finance:INDI::USD,6.70512,1448038.6,0.020116190272828363,133438230.53194118,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,48365.89,IMEX:894333142922:001:Finance:INDI::EUR,5.122,1448038.6,0.03340096734990351,221561136.61573604,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,132656.02,IMEX:894333143823:001:Finance:INDI::EUR,5.109,1448038.6,0.09161083136872179,607688984.3259333,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,20418.48,IMEX:894333144617:001:Finance:INDI::EUR,5.04367,1448038.6,0.014100784329920485,93535788.06811316,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,225288.37,IMEX:894333145304:001:Finance:INDI::USD,6.70924,1448038.6,0.1555817434700981,1032032023.4674994,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,64018.59,IMEX:894333146447:001:Finance:INDI::USD,6.62521,1448038.6,0.04421055488437946,293265182.6511782,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,58654.82,IMEX:894333150896:001:Finance:INDI::EUR,4.94367,1448038.6,0.04050639257820889,268694085.5878266,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,47658.09,IMEX:894333152108:001:Finance:INDI::USD,6.54468,1448038.6,0.032912168225349786,218318748.79868937,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,87265.98,IMEX:894333152572:001:Finance:INDI::USD,6.59417,1448038.6,0.06026495426295956,399760031.6397794,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,337419.29,IMEX:894333153214:001:Finance:INDI::USD,6.57844,1448038.6,0.23301815987501986,1545696800.1307254,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,95333.76,IMEX:894333154598:001:Finance:INDI::USD,6.54545,1448038.6,0.06583647701104099,436718030.4849511,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,31909.63,IMEX:894333154829:001:Finance:INDI::USD,6.54545,1448038.6,0.022036449857068728,146176032.15380904,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,33774.61,IMEX:894333154847:001:Finance:INDI::EUR,4.938,1448038.6,0.02332438513724703,154719389.64326316,0.0
CLS:0001405104,G007,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:19:0,HKD,159999999998,152869003.273,6633374844.946701,4991493595.4508505,N,63940.23,IMEX:894333156774:001:Finance:INDI::USD,6.15406,1448038.6,0.044156440304837175,292906220.36049753,0.0
